"From                     	                          To","Player  (153)","Pos","Yrs","Value                                                                         $2,169,115,299","AAV                                                                         $8,310,787",""
"HOU","Fred VanVleet","PG","3","$128,539,845","$42,846,615","Official"
"DAL","Kyrie Irving","PG","3","$120,000,000","$40,000,000","Official"
"POR","Jerami Grant","PF","5","$160,000,000","$32,000,000","Official"
"MIL","Khris Middleton","SF","3","$93,000,000","$31,000,000","Official"
"GSW","Draymond Green","PF/SF","4","$100,000,000","$25,000,000","Official"
"MIL","Brook Lopez","C","2","$48,000,000","$24,000,000","Official"
"BKN","Cameron Johnson","SF","4","$94,500,000","$23,625,000","Official"
"IND","Bruce Brown Jr.","SG","2","$45,000,000","$22,500,000","Official"
"WAS","Kyle Kuzma","SF","4","$90,000,000","$22,500,000","Official"
"HOU","Dillon Brooks","SF","4","$86,000,001","$21,500,000","Official"
"TOR","Jakob Poeltl","C","4","$78,000,000","$19,500,000","Official"
"LAL","D'Angelo Russell","PG","2","$36,000,000","$18,000,000","Official"
"LAL","Rui Hachimura","PF","3","$51,000,000","$17,000,000","Official"
"CLE","Caris LeVert","SG","2","$32,000,000","$16,000,000","Official"
"CLE","Max Strus","SG","4","$62,297,040","$15,574,260","Official"
"CHA","PJ Washington","PF","3","$46,500,000","$15,500,000","Official"
"NOP","Herb Jones","SF","4","$53,827,872","$13,456,968","Official"
"LAL","Austin Reaves","SG","4","$53,827,872","$13,456,968","Official"
"DAL","Grant Williams","PF","4","$53,341,500","$13,335,375","Official"
"TOR","Dennis Schröder","PG","2","$25,430,250","$12,715,125","Official"
"CHI","Coby White","PG","3","$36,000,000","$12,000,000","Official"
"NYK","Donte DiVincenzo","SG","4","$46,870,000","$11,717,500","Official"
"POR","Matisse Thybulle","SG","3","$33,075,000","$11,025,000","Official"
"ORL","Joe Ingles","SF","2","$22,000,000","$11,000,000","Official"
"LAL","Gabe Vincent","PG","3","$33,000,000","$11,000,000","Official"
"SAS","Tre Jones","PG","2","$20,000,000","$10,000,000","Official"
"CLE","Georges Niang","PF","3","$25,500,000","$8,500,000","Official"
"ORL","Moritz Wagner","C","2","$16,000,000","$8,000,000","Official"
"SAC","Trey Lyles","PF","2","$16,000,000","$8,000,000","Official"
"HOU","Jeff Green","PF","2","$16,000,000","$8,000,000","Official"
"HOU","Jock Landale","C/PF","4","$32,000,000","$8,000,000","Official"
"CHA","Miles Bridges","SF","1","$7,921,300","$7,921,300","Official"
"PHI","Paul Reed","C","3","$23,555,150","$7,851,717","Official"
"CHI","Ayo Dosunmu","PG","3","$21,000,000","$7,000,000","Official"
"CHI","Jevon Carter","PG","3","$19,500,000","$6,500,000","Official"
"DEN","Reggie Jackson","PG","2","$10,250,000","$5,125,000","Official"
"MEM","Bismack Biyombo","C","1","$5,000,000","$5,000,000","Official"
"LAC","Mason Plumlee","C","1","$5,000,000","$5,000,000","Official"
"MIN","Shake Milton","SG","2","$10,000,000","$5,000,000","Official"
"TOR","Jalen McDaniels","PF","2","$9,257,800","$4,628,900","Official"
"LAL","Taurean Prince","PF","1","$4,516,000","$4,516,000","Official"
"MIN","Nickeil Alexander-Walker","SG","2","$9,000,000","$4,500,000","Official"
"MIN","Troy Brown Jr.","SG","2","$8,000,000","$4,000,000","Official"
"DAL","Seth Curry","SG","2","$8,000,000","$4,000,000","Official"
"DAL","Dwight Powell","C","3","$12,000,000","$4,000,000","Official"
"LAC","Russell Westbrook","PG","2","$7,863,263","$3,931,632","Official"
"MIA","Kevin Love","C/PF","2","$7,863,263","$3,931,632","Official"
"MEM","Derrick Rose","PG","2","$6,552,719","$3,276,360","Official"
"PHX","Eric Gordon","SG","2","$6,552,719","$3,276,360","Official"
"CLE","Tristan Thompson","C","1","$3,196,448","$3,196,448","Official"
"PHI","Patrick Beverley","PG","1","$3,196,448","$3,196,448","Official"
