PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
1630639,A.J. Lawson,TOR,Balanced / Low Usage Role,7,0.189,0.093,0.065,0.0,0.0,0.0,0.0,0.099,0.0,0.0
1631260,AJ Green,MIL,"Elite Off-Screen, Spot Up, Transition",6,0.123,0.086,0.059,0.053,0.39,0.0,0.095,0.0,0.0,0.143
1642358,AJ Johnson,WAS,Balanced / Low Usage Role,7,0.173,0.178,0.257,0.0,0.0,0.0,0.0,0.0,0.095,0.0
203932,Aaron Gordon,DEN,"Elite Post Up, High Roll Man, High Usage",0,0.186,0.143,0.083,0.042,0.151,0.152,0.0,0.151,0.085,0.166
1628988,Aaron Holiday,HOU,"P&R Handler, Transition, Spot Up",5,0.162,0.142,0.224,0.0,0.373,0.0,0.053,0.0,0.037,0.168
1630174,Aaron Nesmith,IND,"High Spot Up, Transition",1,0.171,0.063,0.071,0.049,0.368,0.0,0.056,0.036,0.0,0.261
1630598,Aaron Wiggins,OKC,"High Spot Up, Transition",1,0.2,0.102,0.105,0.045,0.35,0.0,0.037,0.063,0.042,0.239
1641737,Adem Bona,PHI,"Elite Cutter, Elite Roll Man, Post Up",2,0.135,0.043,0.0,0.212,0.054,0.047,0.0,0.202,0.0,0.094
1642349,Ajay Mitchell,OKC,"P&R Handler, Transition, Spot Up",5,0.159,0.153,0.275,0.0,0.288,0.0,0.0,0.074,0.0,0.183
201143,Al Horford,BOS,"High Spot Up, Transition",1,0.136,0.102,0.0,0.15,0.425,0.084,0.021,0.059,0.0,0.152
202692,Alec Burks,MIA,"High Spot Up, Transition",1,0.16,0.09,0.125,0.0,0.464,0.0,0.04,0.0,0.031,0.137
1627936,Alex Caruso,OKC,"High Spot Up, Transition",1,0.147,0.171,0.059,0.065,0.412,0.0,0.0,0.102,0.0,0.243
1642024,Alex Reese,PHI,Balanced / Low Usage Role,7,0.123,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642259,Alex Sarr,WAS,"Elite Cutter, Elite Roll Man, Post Up",2,0.23,0.139,0.026,0.263,0.248,0.026,0.0,0.103,0.041,0.15
1630578,Alperen Sengun,HOU,"Elite Post Up, High Roll Man, High Usage",0,0.259,0.238,0.035,0.182,0.084,0.203,0.0,0.094,0.141,0.086
1641708,Amen Thompson,HOU,"P&R Handler, Transition, Spot Up",5,0.172,0.167,0.158,0.032,0.115,0.0,0.0,0.175,0.079,0.255
1629599,Amir Coffey,LAC,"High Spot Up, Transition",1,0.15,0.065,0.057,0.036,0.393,0.0,0.026,0.0,0.016,0.339
203083,Andre Drummond,PHI,"Elite Cutter, Elite Roll Man, Post Up",2,0.183,0.07,0.0,0.215,0.051,0.118,0.0,0.172,0.0,0.06
1641748,Andre Jackson Jr.,MIL,"High Spot Up, Transition",1,0.115,0.109,0.0,0.038,0.313,0.0,0.0,0.17,0.0,0.238
1629614,Andrew Nembhard,IND,"P&R Handler, Transition, Spot Up",5,0.163,0.225,0.283,0.0,0.262,0.0,0.017,0.028,0.062,0.223
203952,Andrew Wiggins,MIA,"P&R Handler, Transition, Spot Up",5,0.238,0.137,0.235,0.0,0.217,0.102,0.05,0.061,0.064,0.172
1629014,Anfernee Simons,POR,"Elite P&R Handler, High Playmaking, High Usage",3,0.241,0.241,0.369,0.0,0.162,0.0,0.06,0.0,0.153,0.155
