PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Isolation_FREQ,Isolation_PPP,Postup_FREQ,Postup_PPP,Spotup_FREQ,Spotup_PPP,Handoff_FREQ,Handoff_PPP,Cut_FREQ,Cut_PPP,OffScreen_FREQ,OffScreen_PPP,OffRebound_FREQ,OffRebound_PPP,Transition_FREQ,Transition_PPP,SEASON
708,0,0,0.0,0.0,0.186,0.923,0.257,0.833,0.0,0.0,0.093,0.846,0.0,0.0,0.0,0.0,0.093,1.077,2015-16
977,Kobe Bryant,LAL,0.199,0.712,0.136,0.852,0.127,0.982,0.069,0.763,0.018,0.958,0.072,0.959,0.019,1.115,0.096,0.984,2015-16
1495,0,0,0.0,0.0,0.259,0.861,0.053,0.839,0.0,0.0,0.18,1.105,0.0,0.0,0.082,1.375,0.045,1.038,2015-16
1713,Vince Carter,MEM,0.049,0.3,0.083,0.735,0.283,1.155,0.078,0.688,0.041,1.412,0.08,1.273,0.049,0.85,0.095,0.769,2015-16
1717,Dirk Nowitzki,DAL,0.046,1.066,0.296,1.021,0.222,0.938,0.008,0.8,0.032,1.548,0.086,0.965,0.027,1.086,0.046,1.344,2015-16
1718,Paul Pierce,LAC,0.079,0.684,0.064,0.871,0.395,0.864,0.0,0.0,0.0,0.0,0.064,1.097,0.0,0.0,0.136,0.985,2015-16
1882,0,0,0.0,0.0,0.0,0.0,0.153,0.769,0.0,0.0,0.306,0.923,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
1889,0,0,0.0,0.0,0.0,0.0,0.152,0.5,0.0,0.0,0.122,1.455,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
1891,Jason Terry,HOU,0.034,0.467,0.0,0.0,0.442,0.99,0.055,1.0,0.0,0.0,0.043,1.211,0.0,0.0,0.197,1.151,2015-16
1897,Metta World Peace,LAL,0.114,0.6,0.174,0.605,0.283,1.048,0.091,0.25,0.0,0.0,0.0,0.0,0.055,0.75,0.087,0.684,2015-16
1938,Manu Ginobili,SAS,0.062,1.056,0.0,0.0,0.272,1.113,0.077,0.956,0.068,1.2,0.079,1.043,0.0,0.0,0.098,1.158,2015-16
2037,Jamal Crawford,LAC,0.224,1.004,0.0,0.0,0.18,1.071,0.088,0.824,0.0,0.0,0.033,0.795,0.009,1.273,0.118,1.152,2015-16
2199,0,0,0.0,0.0,0.083,0.85,0.041,0.4,0.0,0.0,0.267,1.14,0.0,0.0,0.215,1.26,0.05,1.375,2015-16
2200,Pau Gasol,CHI,0.058,0.813,0.207,0.805,0.202,1.0,0.0,0.0,0.072,1.108,0.017,1.136,0.087,1.009,0.05,1.219,2015-16
2207,Joe Johnson,BKN,0.143,0.8,0.122,0.83,0.236,1.077,0.019,0.867,0.0,0.0,0.061,1.085,0.014,0.636,0.109,1.012,2015-16
2210,Richard Jefferson,CLE,0.041,0.75,0.0,0.0,0.477,1.048,0.079,1.032,0.054,1.571,0.049,0.895,0.0,0.0,0.164,1.313,2015-16
2216,Zach Randolph,MEM,0.158,0.886,0.362,0.845,0.1,0.847,0.0,0.0,0.062,1.333,0.013,1.071,0.117,1.178,0.031,1.176,2015-16
2225,Tony Parker,SAS,0.055,0.667,0.0,0.0,0.12,1.018,0.048,0.75,0.027,1.64,0.07,0.797,0.0,0.0,0.125,1.026,2015-16
2365,0,0,0.0,0.0,0.0,0.0,0.128,1.091,0.0,0.0,0.198,1.412,0.0,0.0,0.198,1.0,0.0,0.0,2015-16
2399,0,0,0.0,0.0,0.0,0.0,0.281,1.078,0.118,0.667,0.114,1.538,0.171,0.744,0.0,0.0,0.154,1.2,2015-16
2400,0,0,0.0,0.0,0.0,0.0,0.264,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.176,0.091,0.727,2015-16
2403,Nene,WAS,0.066,1.0,0.31,0.888,0.061,0.667,0.0,0.0,0.213,1.293,0.0,0.0,0.035,0.842,0.075,1.146,2015-16
2405,0,0,0.0,0.0,0.192,0.789,0.037,0.909,0.0,0.0,0.195,1.207,0.037,0.727,0.141,1.071,0.04,0.833,2015-16
2406,0,0,0.0,0.0,0.0,0.0,0.469,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,1.091,2015-16
2419,0,0,0.0,0.0,0.079,0.762,0.436,0.828,0.0,0.0,0.086,0.957,0.0,0.0,0.0,0.0,0.135,1.167,2015-16
2440,Matt Barnes,MEM,0.029,0.6,0.023,0.45,0.311,0.937,0.031,0.778,0.093,0.975,0.07,0.705,0.062,1.019,0.207,0.972,2015-16
2449,0,0,0.0,0.0,0.155,0.725,0.294,0.966,0.0,0.0,0.078,1.091,0.0,0.0,0.082,0.931,0.136,1.427,2015-16
2544,LeBron James,CLE,0.191,0.853,0.106,0.893,0.067,1.0,0.019,1.257,0.057,1.39,0.021,0.923,0.036,1.299,0.195,1.319,2015-16
2546,Carmelo Anthony,NYK,0.237,0.952,0.222,0.921,0.115,1.0,0.026,0.977,0.031,1.154,0.04,1.076,0.042,1.159,0.081,0.933,2015-16
2547,Chris Bosh,MIA,0.134,1.116,0.086,0.843,0.27,0.931,0.012,1.25,0.046,1.477,0.075,1.181,0.03,1.207,0.046,1.023,2015-16
2548,Dwyane Wade,MIA,0.11,0.715,0.105,0.855,0.073,0.974,0.044,0.783,0.05,1.038,0.056,1.011,0.038,1.22,0.128,1.045,2015-16
2550,0,0,0.0,0.0,0.0,0.0,0.252,0.816,0.086,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.205,1.194,2015-16
2555,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.857,0.0,0.0,0.209,0.917,0.0,0.0,2015-16
2561,David West,SAS,0.035,0.684,0.21,1.078,0.179,1.051,0.0,0.0,0.148,1.185,0.02,1.727,0.06,1.485,0.071,0.897,2015-16
2564,Boris Diaw,SAS,0.045,1.0,0.385,1.046,0.2,0.961,0.0,0.0,0.081,1.098,0.0,0.0,0.037,0.947,0.061,1.032,2015-16
2570,0,0,0.0,0.0,0.18,0.478,0.0,0.0,0.0,0.0,0.188,1.083,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
2571,Leandro Barbosa,GSW,0.058,0.731,0.0,0.0,0.193,0.908,0.053,0.958,0.036,1.0,0.156,0.986,0.0,0.0,0.273,1.22,2015-16
2581,Steve Blake,DET,0.03,0.8,0.0,0.0,0.236,1.128,0.064,0.524,0.0,0.0,0.036,1.333,0.0,0.0,0.085,0.429,2015-16
2585,Zaza Pachulia,DAL,0.056,1.025,0.042,0.867,0.091,0.738,0.0,0.0,0.314,1.031,0.0,0.0,0.151,0.917,0.041,1.172,2015-16
2590,Mo Williams,CLE,0.04,0.933,0.0,0.0,0.184,1.116,0.069,0.962,0.0,0.0,0.043,1.063,0.0,0.0,0.147,0.855,2015-16
2594,0,0,0.0,0.0,0.0,0.0,0.24,1.127,0.132,0.958,0.035,1.16,0.314,1.0,0.0,0.0,0.139,1.16,2015-16
2730,0,0,0.0,0.0,0.305,0.822,0.0,0.0,0.0,0.0,0.222,1.384,0.0,0.0,0.148,1.146,0.063,1.115,2015-16
2733,Shaun Livingston,GSW,0.069,0.941,0.192,1.0,0.091,1.089,0.04,0.55,0.177,1.284,0.0,0.0,0.036,0.722,0.151,1.187,2015-16
2734,Devin Harris,DAL,0.036,0.778,0.0,0.0,0.288,1.021,0.048,0.958,0.058,1.552,0.034,1.059,0.0,0.0,0.211,1.133,2015-16
2736,Luol Deng,MIA,0.043,0.487,0.067,0.639,0.355,0.95,0.019,1.059,0.095,1.276,0.045,0.61,0.069,1.349,0.155,1.326,2015-16
2738,Andre Iguodala,GSW,0.079,0.947,0.029,0.571,0.267,1.023,0.023,1.455,0.081,1.128,0.054,1.038,0.033,1.063,0.238,1.13,2015-16
2743,0,0,0.0,0.0,0.0,0.0,0.349,0.809,0.0,0.0,0.168,1.087,0.0,0.0,0.092,0.944,0.133,1.192,2015-16
2744,0,0,0.0,0.0,0.518,0.882,0.048,1.0,0.0,0.0,0.138,1.16,0.0,0.0,0.058,0.824,0.019,1.364,2015-16
2746,Josh Smith,HOU,0.126,0.852,0.099,0.833,0.265,0.912,0.0,0.0,0.107,0.846,0.0,0.0,0.05,1.167,0.136,0.788,2015-16
2747,JR Smith,CLE,0.128,0.733,0.013,0.417,0.337,1.183,0.046,1.14,0.018,0.941,0.166,1.077,0.0,0.0,0.153,1.139,2015-16
2749,Jameer Nelson,DEN,0.078,1.0,0.0,0.0,0.207,0.775,0.072,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.917,2015-16
2754,Tony Allen,MEM,0.047,0.929,0.025,0.6,0.233,0.75,0.03,0.5,0.173,0.962,0.0,0.0,0.11,0.803,0.236,1.077,2015-16
2755,Kevin Martin,MIN,0.131,0.93,0.041,0.778,0.149,0.862,0.053,0.696,0.046,1.35,0.22,1.0,0.0,0.0,0.154,1.239,2015-16
2756,0,0,0.0,0.0,0.0,0.0,0.349,0.975,0.118,0.7,0.0,0.0,0.163,0.909,0.0,0.0,0.148,0.8,2015-16
2757,0,0,0.0,0.0,0.0,0.0,0.173,1.057,0.134,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.636,2015-16
2760,0,0,0.0,0.0,0.098,0.1,0.216,0.727,0.0,0.0,0.235,1.125,0.0,0.0,0.108,0.727,0.0,0.0,2015-16
2772,Trevor Ariza,HOU,0.038,0.75,0.0,0.0,0.403,0.893,0.039,1.073,0.035,1.278,0.084,1.023,0.031,0.813,0.24,1.312,2015-16
101106,0,0,0.0,0.0,0.065,0.56,0.0,0.0,0.0,0.0,0.366,1.421,0.0,0.0,0.188,1.014,0.05,1.316,2015-16
101107,0,0,0.0,0.0,0.043,1.158,0.395,1.121,0.037,1.25,0.064,1.179,0.046,0.925,0.09,1.076,0.081,1.127,2015-16
