PLAYER_ID,SEASON,PRBallHandler_FREQ,PRBallHandler_PPP,PRRollMan_FREQ,PRRollMan_PPP
203798,2015-16,0.165,0.615,0.0,0.0
203798,2015-16,0.082,0.231,0.0,0.0
1626143,2015-16,0.0,0.0,0.131,1.015
1626144,2015-16,0.43,0.641,0.0,0.0
1626145,2015-16,0.406,0.537,0.0,0.0
1626147,2015-16,0.141,0.688,0.0,0.0
1626148,2015-16,0.067,0.5,0.0,0.0
200745,2015-16,0.0,0.0,0.33,0.954
200746,2015-16,0.0,0.0,0.202,0.903
1626156,2015-16,0.383,0.715,0.0,0.0
1626157,2015-16,0.0,0.0,0.248,0.953
1626158,2015-16,0.0,0.0,0.213,1.033
200751,2015-16,0.355,0.813,0.0,0.0
200751,2015-16,0.213,0.7,0.0,0.0
200752,2015-16,0.07,1.034,0.049,0.823
1626159,2015-16,0.07,0.442,0.0,0.0
1626162,2015-16,0.094,0.48,0.0,0.0
200755,2015-16,0.055,0.86,0.0,0.0
1626164,2015-16,0.268,0.799,0.0,0.0
200757,2015-16,0.091,0.75,0.0,0.0
1626166,2015-16,0.456,0.901,0.0,0.0
1626161,2015-16,0.0,0.0,0.142,1.143
1626163,2015-16,0.0,0.0,0.205,1.0
1626169,2015-16,0.217,0.618,0.0,0.0
1626170,2015-16,0.35,0.724,0.0,0.0
1626167,2015-16,0.0,0.0,0.278,0.839
1626168,2015-16,0.0,0.0,0.158,0.906
200765,2015-16,0.393,0.749,0.0,0.0
1626173,2015-16,0.073,0.545,0.0,0.0
1626171,2015-16,0.0,0.0,0.161,0.964
200768,2015-16,0.357,0.863,0.007,1.417
200770,2015-16,0.377,1.043,0.0,0.0
1626178,2015-16,0.111,0.857,0.0,0.0
1626181,2015-16,0.196,0.821,0.0,0.0
1626185,2015-16,0.0,0.0,0.147,0.708
200782,2015-16,0.066,0.84,0.016,0.583
1626191,2015-16,0.0,0.0,0.213,0.931
1626196,2015-16,0.245,0.756,0.0,0.0
1626199,2015-16,0.299,0.64,0.0,0.0
200794,2015-16,0.015,0.81,0.18,0.973
1626204,2015-16,0.0,0.0,0.115,0.829
200797,2015-16,0.0,0.0,0.143,1.3
1626209,2015-16,0.204,0.627,0.0,0.0
1626214,2015-16,0.135,2.0,0.0,0.0
203894,2015-16,0.404,0.664,0.0,0.0
203895,2015-16,0.256,0.8,0.0,0.0
203897,2015-16,0.291,0.718,0.0,0.0
200826,2015-16,0.528,0.87,0.0,0.0
203898,2015-16,0.401,0.788,0.0,0.0
203900,2015-16,0.236,0.717,0.0,0.0
203901,2015-16,0.348,0.678,0.0,0.0
203903,2015-16,0.36,0.868,0.0,0.0
1626245,2015-16,0.0,0.0,0.333,1.294
203914,2015-16,0.104,0.8,0.0,0.0
203915,2015-16,0.461,0.743,0.0,0.0
203917,2015-16,0.155,0.598,0.0,0.0
203918,2015-16,0.293,0.876,0.0,0.0
1626257,2015-16,0.0,0.0,0.234,1.345
203922,2015-16,0.091,0.294,0.0,0.0
203924,2015-16,0.027,0.652,0.105,0.6
203926,2015-16,0.036,1.192,0.0,0.0
2199,2015-16,0.0,0.0,0.18,1.138
2200,2015-16,0.0,0.0,0.212,0.993
203930,2015-16,0.192,1.0,0.0,0.0
203932,2015-16,0.051,1.0,0.07,1.0
203933,2015-16,0.103,0.865,0.0,0.0
203934,2015-16,0.114,0.385,0.0,0.0
2207,2015-16,0.239,0.707,0.0,0.0
2207,2015-16,0.273,0.881,0.0,0.0
203935,2015-16,0.182,0.774,0.0,0.0
1626273,2015-16,0.484,0.774,0.0,0.0
203937,2015-16,0.097,0.895,0.0,0.0
2210,2015-16,0.064,0.96,0.0,0.0
203939,2015-16,0.0,0.0,0.234,0.936
203943,2015-16,0.0,0.0,0.183,0.719
203944,2015-16,0.022,0.667,0.094,0.728
2216,2015-16,0.0,0.0,0.097,0.963
203948,2015-16,0.0,0.0,0.133,0.706
203952,2015-16,0.189,0.847,0.028,1.041
2225,2015-16,0.51,0.925,0.0,0.0
203953,2015-16,0.06,0.701,0.049,0.727
203960,2015-16,0.057,0.471,0.0,0.0
201933,2015-16,0.057,1.182,0.21,0.883
201935,2015-16,0.259,0.97,0.0,0.0
201936,2015-16,0.39,0.843,0.0,0.0
201937,2015-16,0.407,0.69,0.0,0.0
202962,2015-16,0.0,0.0,0.319,0.8
201939,2015-16,0.262,1.11,0.007,0.933
201941,2015-16,0.0,0.0,0.198,0.964
201942,2015-16,0.324,0.992,0.0,0.0
201943,2015-16,0.359,0.754,0.0,0.0
201943,2015-16,0.377,0.613,0.0,0.0
203991,2015-16,0.0,0.0,0.185,1.168
201945,2015-16,0.182,0.719,0.0,0.0
203994,2015-16,0.0,0.0,0.245,1.012
201949,2015-16,0.065,0.857,0.0,0.0
201950,2015-16,0.517,0.867,0.0,0.0
201951,2015-16,0.328,0.654,0.0,0.0
201951,2015-16,0.361,0.767,0.0,0.0
201952,2015-16,0.406,0.785,0.0,0.0
204001,2015-16,0.012,0.615,0.137,1.072
201954,2015-16,0.253,0.937,0.0,0.0
1627362,2015-16,0.49,0.583,0.0,0.0
201956,2015-16,0.044,0.543,0.028,0.864
203999,2015-16,0.0,0.0,0.195,0.994
201959,2015-16,0.0,0.0,0.12,0.883
201960,2015-16,0.093,0.667,0.0,0.0
201961,2015-16,0.178,0.75,0.0,0.0
201962,2015-16,0.372,0.791,0.0,0.0
201967,2015-16,0.039,0.579,0.045,1.318
204020,2015-16,0.278,0.932,0.0,0.0
201973,2015-16,0.0,0.0,0.118,0.568
201976,2015-16,0.19,0.645,0.019,1.286
201977,2015-16,0.214,0.907,0.0,0.0
201977,2015-16,0.254,0.75,0.0,0.0
204025,2015-16,0.448,0.837,0.0,0.0
201978,2015-16,0.086,0.952,0.0,0.0
201980,2015-16,0.044,0.552,0.0,0.0
204028,2015-16,0.0,0.0,0.289,1.0
201988,2015-16,0.284,0.837,0.0,0.0
204038,2015-16,0.174,0.744,0.0,0.0
204060,2015-16,0.155,0.571,0.0,0.0
2365,2015-16,0.0,0.0,0.233,0.95
204098,2015-16,0.392,0.763,0.0,0.0
203076,2015-16,0.0,0.0,0.247,1.06
203077,2015-16,0.175,1.143,0.0,0.0
203078,2015-16,0.295,0.812,0.0,0.0
203079,2015-16,0.254,0.689,0.0,0.0
203080,2015-16,0.0,0.0,0.263,0.774
203081,2015-16,0.43,0.921,0.0,0.0
203082,2015-16,0.118,0.768,0.0,0.0
203083,2015-16,0.0,0.0,0.132,1.103
203084,2015-16,0.044,0.939,0.029,0.955
203085,2015-16,0.333,0.852,0.0,0.0
203086,2015-16,0.0,0.0,0.264,1.086
203087,2015-16,0.243,0.966,0.0,0.0
203088,2015-16,0.293,0.408,0.0,0.0
203089,2015-16,0.0,0.0,0.219,1.09
202066,2015-16,0.098,0.59,0.0,0.0
203090,2015-16,0.062,0.688,0.021,0.455
203092,2015-16,0.0,0.0,0.345,0.955
203093,2015-16,0.0,0.0,0.12,1.107
203094,2015-16,0.0,0.0,0.186,0.845
203095,2015-16,0.218,0.804,0.0,0.0
203096,2015-16,0.0,0.0,0.168,0.873
203098,2015-16,0.265,0.8,0.0,0.0
203100,2015-16,0.33,0.405,0.0,0.0
203101,2015-16,0.0,0.0,0.203,1.443
2399,2015-16,0.057,0.462,0.0,0.0
2400,2015-16,0.0,0.0,0.264,0.469
203105,2015-16,0.0,0.0,0.16,1.058
202083,2015-16,0.092,0.736,0.013,0.692
2403,2015-16,0.0,0.0,0.169,0.957
203109,2015-16,0.073,0.781,0.038,1.237
203110,2015-16,0.05,0.852,0.126,1.019
202087,2015-16,0.03,0.7,0.0,0.0
2405,2015-16,0.0,0.0,0.273,1.296
203112,2015-16,0.0,0.0,0.141,0.895
203114,2015-16,0.18,0.782,0.017,0.84
203115,2015-16,0.24,0.891,0.0,0.0
203118,2015-16,0.0,0.0,0.188,1.107
2419,2015-16,0.079,0.667,0.038,0.4
203123,2015-16,0.14,0.0,0.0,0.0
203124,2015-16,0.0,0.0,0.197,0.775
203135,2015-16,0.0,0.0,0.236,1.04
203138,2015-16,0.066,0.558,0.0,0.0
203141,2015-16,0.013,0.583,0.089,1.036
203143,2015-16,0.442,0.67,0.0,0.0
2440,2015-16,0.053,0.739,0.033,1.207
203145,2015-16,0.151,0.593,0.0,0.0
203148,2015-16,0.462,1.045,0.0,0.0
2449,2015-16,0.0,0.0,0.184,0.831
203156,2015-16,0.0,0.0,0.204,1.048
201574,2015-16,0.0,0.0,0.171,1.0
203186,2015-16,0.0,0.0,0.253,1.182
203187,2015-16,0.071,0.611,0.0,0.0
201142,2015-16,0.19,0.934,0.055,1.08
201143,2015-16,0.0,0.0,0.247,1.13
201144,2015-16,0.433,0.86,0.0,0.0
201145,2015-16,0.186,0.875,0.075,1.083
201145,2015-16,0.186,0.875,0.033,0.783
201145,2015-16,0.063,0.95,0.075,1.083
201145,2015-16,0.063,0.95,0.033,0.783
201147,2015-16,0.046,0.5,0.0,0.0
201148,2015-16,0.0,0.0,0.333,1.042
201149,2015-16,0.0,0.0,0.099,0.6
201150,2015-16,0.0,0.0,0.181,1.014
201152,2015-16,0.021,1.0,0.181,1.042
203200,2015-16,0.167,0.844,0.0,0.0
201155,2015-16,0.315,0.761,0.0,0.0
201156,2015-16,0.166,0.887,0.0,0.0
201158,2015-16,0.133,0.569,0.0,0.0
201160,2015-16,0.0,0.0,0.404,1.004
203210,2015-16,0.0,0.0,0.148,0.894
201162,2015-16,0.0,0.0,0.135,0.951
201166,2015-16,0.561,0.82,0.0,0.0
201167,2015-16,0.08,0.733,0.0,0.0
201168,2015-16,0.0,0.0,0.159,0.75
201171,2015-16,0.0,0.0,0.173,1.13
1495,2015-16,0.0,0.0,0.242,0.965
201177,2015-16,0.0,0.0,0.184,0.806
201188,2015-16,0.0,0.0,0.221,1.087
201196,2015-16,0.351,0.866,0.0,0.0
2544,2015-16,0.216,0.885,0.036,1.358
2546,2015-16,0.131,0.803,0.017,0.966
2547,2015-16,0.011,0.909,0.244,1.106
2548,2015-16,0.348,0.846,0.0,0.0
2550,2015-16,0.278,0.738,0.0,0.0
2555,2015-16,0.0,0.0,0.256,0.909
2561,2015-16,0.0,0.0,0.194,0.896
2564,2015-16,0.0,0.0,0.114,0.845
2570,2015-16,0.0,0.0,0.242,1.0
2571,2015-16,0.144,0.908,0.0,0.0
201228,2015-16,0.258,0.717,0.0,0.0
201229,2015-16,0.0,0.0,0.108,1.073
2581,2015-16,0.415,0.745,0.0,0.0
2585,2015-16,0.0,0.0,0.179,0.969
2590,2015-16,0.432,0.778,0.0,0.0
2594,2015-16,0.068,0.918,0.0,0.0
202322,2015-16,0.402,0.727,0.0,0.0
202323,2015-16,0.315,0.708,0.0,0.0
202324,2015-16,0.0,0.0,0.221,1.106
202325,2015-16,0.021,0.75,0.058,0.912
202326,2015-16,0.012,1.0,0.148,0.982
202328,2015-16,0.0,0.0,0.108,1.069
202329,2015-16,0.085,0.684,0.04,1.0
202330,2015-16,0.244,0.824,0.009,1.929
202331,2015-16,0.212,0.853,0.011,1.0
202332,2015-16,0.0,0.0,0.433,1.148
202334,2015-16,0.0,0.0,0.249,1.042
202335,2015-16,0.0,0.0,0.142,0.926
202337,2015-16,0.069,1.043,0.0,0.0
202338,2015-16,0.0,0.0,0.136,0.857
202339,2015-16,0.382,0.973,0.0,0.0
202340,2015-16,0.135,0.75,0.0,0.0
202341,2015-16,0.167,0.692,0.0,0.0
202344,2015-16,0.0,0.0,0.161,0.976
202349,2015-16,0.319,0.55,0.0,0.0
202355,2015-16,0.0,0.0,0.208,1.342
202357,2015-16,0.0,0.0,0.124,1.368
203382,2015-16,0.0,0.0,0.223,1.11
202362,2015-16,0.218,0.976,0.0,0.0
202362,2015-16,0.213,0.708,0.0,0.0
202388,2015-16,0.328,0.752,0.0,0.0
202389,2015-16,0.0,0.0,0.168,1.215
202390,2015-16,0.245,1.076,0.0,0.0
202391,2015-16,0.327,0.789,0.0,0.0
202397,2015-16,0.442,0.71,0.0,0.0
202397,2015-16,0.457,0.667,0.0,0.0
204456,2015-16,0.46,0.808,0.0,0.0
2730,2015-16,0.0,0.0,0.093,1.099
2733,2015-16,0.127,0.746,0.0,0.0
2734,2015-16,0.223,0.793,0.0,0.0
2736,2015-16,0.029,0.846,0.07,1.0
1713,2015-16,0.163,0.821,0.0,0.0
2738,2015-16,0.077,0.486,0.0,0.0
1717,2015-16,0.0,0.0,0.186,1.033
1718,2015-16,0.021,0.9,0.163,0.873
2743,2015-16,0.0,0.0,0.256,1.12
2743,2015-16,0.0,0.0,0.197,0.741
2744,2015-16,0.0,0.0,0.169,1.081
2746,2015-16,0.093,0.4,0.248,0.567
2746,2015-16,0.093,0.4,0.13,0.643
2747,2015-16,0.079,0.676,0.0,0.0
2749,2015-16,0.47,0.665,0.0,0.0
203457,2015-16,0.0,0.0,0.184,0.936
2754,2015-16,0.052,0.968,0.0,0.0
203459,2015-16,0.092,0.75,0.032,1.12
2755,2015-16,0.154,0.657,0.0,0.0
2755,2015-16,0.091,0.4,0.0,0.0
2757,2015-16,0.401,0.84,0.0,0.0
2757,2015-16,0.421,0.542,0.0,0.0
203462,2015-16,0.259,0.622,0.0,0.0
2756,2015-16,0.107,0.833,0.0,0.0
203463,2015-16,0.082,0.469,0.0,0.0
203458,2015-16,0.0,0.0,0.113,0.869
708,2015-16,0.0,0.0,0.2,1.214
2760,2015-16,0.0,0.0,0.176,0.889
203468,2015-16,0.374,0.924,0.0,0.0
203469,2015-16,0.0,0.0,0.288,1.217
203471,2015-16,0.544,0.71,0.0,0.0
203473,2015-16,0.0,0.0,0.273,1.379
2772,2015-16,0.071,0.635,0.013,0.857
203477,2015-16,0.203,0.758,0.0,0.0
203476,2015-16,0.0,0.0,0.223,0.946
203481,2015-16,0.0,0.0,0.18,1.077
203482,2015-16,0.0,0.0,0.194,1.038
203484,2015-16,0.224,0.823,0.0,0.0
203486,2015-16,0.0,0.0,0.208,0.982
203487,2015-16,0.325,0.709,0.0,0.0
203490,2015-16,0.099,0.819,0.026,1.273
203492,2015-16,0.33,0.613,0.0,0.0
203496,2015-16,0.045,0.262,0.055,1.353
203497,2015-16,0.0,0.0,0.175,1.085
203498,2015-16,0.069,0.915,0.0,0.0
203499,2015-16,0.47,0.673,0.0,0.0
203500,2015-16,0.0,0.0,0.247,1.122
203501,2015-16,0.084,0.538,0.0,0.0
203503,2015-16,0.17,0.58,0.0,0.0
203504,2015-16,0.347,0.842,0.0,0.0
203506,2015-16,0.325,0.804,0.0,0.0
203507,2015-16,0.1,0.814,0.025,0.829
101108,2015-16,0.519,0.941,0.0,0.0
101109,2015-16,0.45,0.775,0.0,0.0
101107,2015-16,0.021,0.833,0.148,1.131
101106,2015-16,0.0,0.0,0.097,0.892
101111,2015-16,0.0,0.0,0.108,1.075
101112,2015-16,0.0,0.0,0.206,1.152
101112,2015-16,0.0,0.0,0.171,1.161
