Team,Team_Playstyle,Lineup_Name,Minutes,Plus_Minus,Current_OFF_Archetypes,Current_DEF_Archetypes,Rec_Add_OFF,Rec_Add_DEF
NYK,Balanced / Average Style,K. Towns - O. Anunoby - J. Hart - J. Brunson,1065.538333,167.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, Guards SF ()","P&R Handler, Transition, Spot Up","Versatile, High High Difficulty, Versatile, Steals"
NYK,Balanced / Average Style,K. Towns - O. Anunoby - J. Hart - M. Bridges,1318.898333,122.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition, P&R Handler, Transition, Spot Up","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Iso, Elite Usage, High Playmaking","Versatile, Guards SF ()"
NYK,Balanced / Average Style,K. Towns - J. Hart - M. Bridges - J. Brunson,1142.943333,111.0,"Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Iso, Elite Usage, High Playmaking","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals, Guards SF ()","Elite Off-Screen, Spot Up, Transition",Versatile
NYK,Balanced / Average Style,K. Towns - J. Hart - J. Brunson - M. McBride,168.193333,97.0,"Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, P&R Handler, Transition, Spot Up","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, Guards SF (), High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition",Versatile
NYK,Balanced / Average Style,K. Towns - O. Anunoby - J. Hart - M. McBride,317.403333,86.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition, P&R Handler, Transition, Spot Up","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Iso, Elite Usage, High Playmaking","Versatile, Guards SF ()"
MIN,3-Point Heavy,M. Conley - R. Gobert - A. Edwards - J. McDaniels,870.631667,135.0,"P&R Handler, Transition, Spot Up, Elite Cutter, Elite Roll Man, Post Up, Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition","Guards PG (High Disruptor), Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition",Versatile
MIN,3-Point Heavy,D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,367.501667,108.0,"Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Off-Screen, Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking","Guards PG (High Disruptor), High High Difficulty, Versatile, Steals, Versatile, High Steals, Versatile, Disruptor","Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition",Anchor Big / Rim Protector
MIN,3-Point Heavy,M. Conley - R. Gobert - N. Alexander-Walker - N. Reid,227.28,107.0,"P&R Handler, Transition, Spot Up, Elite Cutter, Elite Roll Man, Post Up, P&R Handler, Transition, Spot Up, Elite Off-Screen, Spot Up, Transition","Guards PG (High Disruptor), Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Versatile","Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition","High Steals, Versatile, Disruptor"
MIN,3-Point Heavy,R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid,312.963333,105.0,"Elite Cutter, Elite Roll Man, Post Up, Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Off-Screen, Spot Up, Transition","Anchor Big / Rim Protector, Guards PG (High Disruptor), High High Difficulty, Versatile, Steals, Versatile","Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition","High Steals, Versatile, Disruptor"
MIN,3-Point Heavy,M. Conley - R. Gobert - J. Randle - A. Edwards,783.28,92.0,"P&R Handler, Transition, Spot Up, Elite Cutter, Elite Roll Man, Post Up, Elite Post Up, High Roll Man, High Usage, Elite Iso, Elite Usage, High Playmaking","Guards PG (High Disruptor), Anchor Big / Rim Protector, Versatile, High Steals, Versatile, Disruptor","Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition","High High Difficulty, Versatile, Steals"
DEN,High Pace + Rim/Midrange Focus + Transition Heavy,A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,680.893333,225.0,"Elite Post Up, High Roll Man, High Usage, Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition","Versatile, Anchor Big / Rim Protector, Versatile, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up","High Steals, Versatile, Disruptor, Guards SF ()"
DEN,High Pace + Rim/Midrange Focus + Transition Heavy,N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1044.29,203.0,"Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition","Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Versatile, High High Difficulty, Versatile, Steals","Elite Cutter, Elite Roll Man, Post Up","High Steals, Versatile, Disruptor, Guards SF ()"
DEN,High Pace + Rim/Midrange Focus + Transition Heavy,A. Gordon - N. Jokić - J. Murray - C. Braun,548.56,172.0,"Elite Post Up, High Roll Man, High Usage, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition","Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","High Steals, Versatile, Disruptor, Guards SF ()"
DEN,High Pace + Rim/Midrange Focus + Transition Heavy,R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun,697.02,141.0,"Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, High Spot Up, Transition","High Steals, Versatile, Disruptor, Anchor Big / Rim Protector, Versatile, High High Difficulty, Versatile, Steals","Elite Cutter, Elite Roll Man, Post Up",Guards SF ()
DEN,High Pace + Rim/Midrange Focus + Transition Heavy,A. Gordon - N. Jokić - J. Murray - M. Porter Jr.,528.921667,139.0,"Elite Post Up, High Roll Man, High Usage, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Off-Screen, Spot Up, Transition","Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Versatile","Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","High Steals, Versatile, Disruptor, Guards SF ()"
DET,High Pace + Rim/Midrange Focus + Transition Heavy,T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,610.175,86.0,"Elite Off-Screen, Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","Guards SF (), High Steals, Versatile, Disruptor, Anchor Big / Rim Protector, Point of Attack Stopper","Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage","Versatile, High High Difficulty, Versatile, Steals"
DET,High Pace + Rim/Midrange Focus + Transition Heavy,M. Beasley - C. Cunningham - J. Duren - S. Fontecchio,83.748333,66.0,"Elite Off-Screen, Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, Anchor Big / Rim Protector, Versatile","Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage",Guards SF ()
DET,High Pace + Rim/Midrange Focus + Transition Heavy,T. Harris - M. Beasley - I. Stewart - C. Cunningham,229.311667,62.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, Elite Iso, Elite Usage, High Playmaking","Versatile, High High Difficulty, Versatile, Steals, Anchor Big / Rim Protector, High Steals, Versatile, Disruptor","Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition",Guards SF ()
DET,High Pace + Rim/Midrange Focus + Transition Heavy,T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham,319.413333,59.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, Elite Off-Screen, Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking","Versatile, Guards SF (), High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor","Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition",Anchor Big / Rim Protector
DET,High Pace + Rim/Midrange Focus + Transition Heavy,T. Harris - D. Schröder - M. Beasley - I. Stewart,83.06,56.0,"Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals, Anchor Big / Rim Protector","High Spot Up, Transition","High Steals, Versatile, Disruptor, Guards SF ()"
HOU,Iso/Heliocentric + Glass Crashers,D. Brooks - A. Sengun - T. Eason - A. Thompson,214.213333,116.0,"High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition, P&R Handler, Transition, Spot Up","High High Difficulty, Versatile, Steals, Guards C (High Rebounding), High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage","Versatile, Guards SF ()"
HOU,Iso/Heliocentric + Glass Crashers,F. VanVleet - D. Brooks - A. Sengun - J. Smith Jr.,562.485,93.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals, Guards C (High Rebounding), Versatile","Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up",Guards SF ()
HOU,Iso/Heliocentric + Glass Crashers,D. Brooks - A. Sengun - J. Smith Jr. - A. Thompson,191.676667,85.0,"High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition, P&R Handler, Transition, Spot Up","High High Difficulty, Versatile, Steals, Guards C (High Rebounding), Versatile, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage",Guards SF ()
HOU,Iso/Heliocentric + Glass Crashers,D. Brooks - J. Green - A. Sengun - J. Smith Jr.,641.151667,79.0,"High Spot Up, Transition, Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High High Difficulty, Versatile, Steals, Guards SF (), Guards C (High Rebounding), Versatile","Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up","High High Difficulty, Versatile, Steals"
HOU,Iso/Heliocentric + Glass Crashers,F. VanVleet - J. Green - A. Sengun - J. Smith Jr.,590.23,74.0,"Elite P&R Handler, High Playmaking, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High High Difficulty, Versatile, Steals, Guards SF (), Guards C (High Rebounding), Versatile","P&R Handler, Transition, Spot Up","High High Difficulty, Versatile, Steals"
SAC,Balanced / Average Style,D. DeRozan - D. Sabonis - M. Monk - K. Ellis,390.023333,147.0,"Elite Iso, Elite Usage, High Playmaking, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition","Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Point of Attack Stopper","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","High Steals, Versatile, Disruptor, Guards SF ()"
SAC,Balanced / Average Style,D. DeRozan - D. Sabonis - M. Monk - K. Murray,886.041667,102.0,"Elite Iso, Elite Usage, High Playmaking, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition","Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","High Steals, Versatile, Disruptor, Guards SF ()"
SAC,Balanced / Average Style,D. DeRozan - M. Monk - K. Murray - K. Ellis,252.543333,90.0,"Elite Iso, Elite Usage, High Playmaking, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, High Spot Up, Transition","Versatile, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals, Point of Attack Stopper","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, Guards SF ()"
SAC,Balanced / Average Style,D. DeRozan - D. Sabonis - K. Murray - K. Ellis,527.055,89.0,"Elite Iso, Elite Usage, High Playmaking, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition, High Spot Up, Transition","Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Point of Attack Stopper","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","High Steals, Versatile, Disruptor, Guards SF ()"
