PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
1630639,A.J. Lawson,TOR,18.7,26,0.189,0.093,0.542,109.7,111.1,0.082,0.531578947368421,0.065,0.933,0.0,0.0,0.056,0.846,0.0,0.0,0.099,1.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631260,AJ Green,MIL,22.7,73,0.123,0.086,0.621,114.0,107.6,0.058,0.8561320754716981,0.059,0.5,0.0,0.0,0.165,1.231,0.095,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.053,1.44,0.39,1.292,0.143,1.309
1642358,AJ Johnson,WAS,22.0,29,0.173,0.178,0.48,104.1,115.6,0.053,0.4225352112676056,0.257,0.823,0.095,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203932,Aaron Gordon,DEN,28.4,51,0.186,0.143,0.65,122.5,113.0,0.104,0.3460764587525151,0.083,1.019,0.085,0.873,0.025,1.188,0.0,0.0,0.151,1.469,0.088,1.158,0.152,0.939,0.042,1.296,0.151,1.245,0.166,1.38
1628988,Aaron Holiday,HOU,12.8,62,0.162,0.142,0.594,110.3,103.6,0.082,0.6753731343283582,0.224,1.042,0.037,0.75,0.037,1.167,0.053,1.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,1.2,0.168,0.907
1630174,Aaron Nesmith,IND,24.9,45,0.171,0.063,0.653,120.1,111.5,0.087,0.5145118733509235,0.071,0.625,0.0,0.0,0.038,1.412,0.056,1.08,0.036,1.5,0.04,1.389,0.0,0.0,0.049,1.591,0.368,1.079,0.261,1.427
1630598,Aaron Wiggins,OKC,22.9,76,0.2,0.102,0.596,120.7,106.6,0.105,0.4656593406593406,0.105,0.795,0.042,1.057,0.041,1.294,0.037,1.032,0.063,1.642,0.049,1.122,0.0,0.0,0.045,1.079,0.35,1.068,0.239,1.18
1641745,Adam Flagler,OKC,5.5,37,0.207,0.094,0.335,99.1,96.7,0.025,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641766,Adama Sanogo,CHI,5.4,4,0.145,0.067,0.571,104.2,122.2,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641737,Adem Bona,PHI,15.6,58,0.135,0.043,0.714,107.4,114.0,0.093,0.0052083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,1.417,0.212,1.19,0.047,1.357,0.212,1.175,0.054,1.5,0.094,1.357
1642349,Ajay Mitchell,OKC,16.6,36,0.159,0.153,0.587,110.0,100.2,0.082,0.3260869565217391,0.275,1.0,0.0,0.0,0.061,0.429,0.0,0.0,0.074,1.588,0.0,0.0,0.0,0.0,0.0,0.0,0.288,1.061,0.183,0.929
201143,Al Horford,BOS,27.6,60,0.136,0.102,0.563,119.6,108.1,0.091,0.6811279826464208,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.818,0.059,1.419,0.046,0.75,0.084,0.977,0.15,0.949,0.425,1.126,0.152,1.075
202692,Alec Burks,MIA,17.6,49,0.16,0.09,0.608,113.5,107.6,0.088,0.7638376383763837,0.125,0.975,0.031,0.9,0.078,1.12,0.04,1.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,1.208,0.137,1.227
1627936,Alex Caruso,OKC,19.3,54,0.147,0.171,0.568,117.5,102.5,0.101,0.5414012738853503,0.059,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.102,1.184,0.03,1.0,0.0,0.0,0.065,0.708,0.412,1.02,0.243,1.178
1642505,Alex Ducas,OKC,6.0,21,0.115,0.058,0.583,99.6,106.3,0.065,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203458,Alex Len,LAL,8.3,46,0.101,0.143,0.525,101.4,118.9,0.057,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407,1.125,0.169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642024,Alex Reese,PHI,14.4,15,0.123,0.023,0.641,117.3,111.8,0.079,0.7592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642259,Alex Sarr,WAS,27.1,67,0.23,0.139,0.482,102.7,116.4,0.084,0.4118357487922705,0.026,0.889,0.041,0.619,0.0,0.0,0.0,0.0,0.103,1.076,0.078,1.0,0.026,0.741,0.263,0.787,0.248,0.937,0.15,0.869
1631214,Alondes Williams,LAC,3.7,1,0.286,0.333,1.25,171.4,85.7,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630578,Alperen Sengun,HOU,31.5,76,0.259,0.238,0.545,114.9,107.4,0.153,0.0787401574803149,0.035,1.111,0.141,0.856,0.0,0.0,0.0,0.0,0.094,1.146,0.109,0.994,0.203,1.052,0.182,0.943,0.084,0.781,0.086,0.939
1641708,Amen Thompson,HOU,32.3,69,0.172,0.167,0.602,114.2,107.9,0.129,0.1305595408895265,0.158,0.84,0.079,0.853,0.035,0.939,0.0,0.0,0.175,1.361,0.089,1.2,0.0,0.0,0.032,0.9,0.115,0.835,0.255,1.157
1629599,Amir Coffey,LAC,24.3,72,0.15,0.065,0.614,109.1,110.6,0.072,0.4843137254901961,0.057,0.829,0.016,1.2,0.052,0.75,0.026,1.0,0.0,0.0,0.033,1.15,0.0,0.0,0.036,1.045,0.393,1.149,0.339,1.308
203083,Andre Drummond,PHI,18.8,40,0.183,0.07,0.535,103.4,118.9,0.109,0.0854700854700854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,1.088,0.239,0.937,0.118,0.923,0.215,0.986,0.051,0.471,0.06,1.4
1641748,Andre Jackson Jr.,MIL,14.6,67,0.115,0.109,0.554,110.6,112.1,0.051,0.3857868020304568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.867,0.068,1.056,0.0,0.0,0.038,1.1,0.313,0.831,0.238,1.048
1629614,Andrew Nembhard,IND,28.9,65,0.163,0.225,0.545,115.5,110.2,0.081,0.3246753246753247,0.283,0.955,0.062,0.955,0.052,0.73,0.017,1.25,0.028,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.877,0.223,0.987
203952,Andrew Wiggins,MIA,30.7,60,0.238,0.137,0.566,109.4,111.7,0.105,0.4147794994040524,0.235,0.859,0.064,0.957,0.069,1.04,0.05,1.167,0.061,1.364,0.044,0.813,0.102,1.212,0.0,0.0,0.217,1.121,0.172,1.218
1629014,Anfernee Simons,POR,32.7,70,0.241,0.241,0.557,108.8,113.4,0.106,0.5271111111111111,0.369,0.988,0.153,0.913,0.051,1.118,0.06,0.901,0.0,0.0,0.008,0.818,0.0,0.0,0.0,0.0,0.162,1.124,0.155,1.029
1641710,Anthony Black,ORL,24.2,78,0.19,0.201,0.521,106.2,107.1,0.084,0.314516129032258,0.311,0.681,0.041,1.057,0.054,1.022,0.014,0.333,0.039,1.152,0.026,0.682,0.0,0.0,0.019,0.625,0.222,0.936,0.195,1.121
203076,Anthony Davis,DAL,33.4,51,0.301,0.182,0.588,113.3,112.9,0.179,0.1362637362637362,0.082,1.086,0.106,1.048,0.015,1.067,0.032,0.781,0.1,1.283,0.103,1.206,0.127,0.913,0.192,1.226,0.078,0.896,0.098,1.299
1630162,Anthony Edwards,MIN,36.3,79,0.307,0.209,0.595,116.2,111.4,0.14,0.5031017369727047,0.333,1.022,0.196,0.909,0.068,1.093,0.057,1.145,0.014,1.536,0.016,0.941,0.017,0.857,0.007,1.067,0.11,1.232,0.151,1.208
1630264,Anthony Gill,WAS,7.8,51,0.124,0.059,0.586,101.9,109.7,0.071,0.3522727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641817,Anton Watson,NYK,2.5,9,0.193,0.125,0.444,103.9,119.2,0.033,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641810,Antonio Reeves,NOP,15.0,44,0.183,0.089,0.579,107.3,117.5,0.072,0.5201612903225806,0.109,0.844,0.051,0.467,0.102,0.7,0.061,1.111,0.065,1.368,0.051,0.933,0.0,0.0,0.0,0.0,0.287,1.155,0.235,1.145
