TEAM_ID,TEAM_NAME,Playstyle_Name,Cluster,PACE,AST_PCT,3PAr,OREB_PCT,FB_PCT,PAINT_PCT,DEF_RATING,TM_TOV_PCT
1610612737,Atlanta Hawks,High Pace + Rim/Midrange Focus + Transition Heavy,4,103.41,0.682,0.4103347502656748,0.3,0.1451862552884119,0.4668248890723351,114.8,0.149
1610612738,Boston Celtics,3-Point Heavy,2,96.59,0.628,0.5357626659441885,0.291,0.1021606880637717,0.3545206628907069,110.1,0.122
1610612751,Brooklyn Nets,3-Point Heavy,2,96.73,0.669,0.4577903682719547,0.294,0.1357466063348416,0.4142011834319526,115.4,0.156
1610612766,Charlotte Hornets,3-Point Heavy,2,98.22,0.635,0.4300766283524904,0.308,0.112207008586679,0.4279415177535391,115.7,0.157
1610612741,Chicago Bulls,High Pace + High Ball Movement + Transition Heavy,3,103.61,0.673,0.456858846918489,0.26,0.15703933747412,0.431055900621118,114.8,0.141
1610612739,Cleveland Cavaliers,3-Point Heavy,2,100.31,0.631,0.4568780225685115,0.296,0.1218121812181218,0.4204420442044204,111.8,0.131
1610612742,Dallas Mavericks,Balanced / Average Style,5,100.15,0.601,0.3893522379760912,0.271,0.1318880820162323,0.4461768475010679,115.0,0.14
1610612743,Denver Nuggets,High Pace + Rim/Midrange Focus + Transition Heavy,4,100.67,0.683,0.3558423913043478,0.311,0.1668349828317511,0.4847505554433448,115.1,0.14
1610612765,Detroit Pistons,High Pace + Rim/Midrange Focus + Transition Heavy,4,100.27,0.618,0.3939970120874643,0.305,0.1604899165874775,0.4578186041600676,112.5,0.147
1610612744,Golden State Warriors,3-Point Heavy,2,99.37,0.714,0.4688343227199136,0.314,0.1277462222698532,0.3945986496624156,111.0,0.141
1610612745,Houston Rockets,Iso/Heliocentric + Glass Crashers,1,99.03,0.549,0.3836009922966444,0.363,0.1483141271873666,0.4504908237302603,110.3,0.14
1610612754,Indiana Pacers,High Pace + High Ball Movement + Transition Heavy,3,100.76,0.671,0.4004914004914005,0.254,0.1491064006650041,0.4347464671654197,113.3,0.13
1610612746,LA Clippers,Balanced / Average Style,5,98.24,0.605,0.3869964664310954,0.282,0.1392610198789974,0.4554883318928263,109.4,0.151
1610612747,Los Angeles Lakers,Balanced / Average Style,5,98.34,0.635,0.4254317111459968,0.273,0.1328242632824263,0.4239621423962142,113.8,0.142
1610612763,Memphis Grizzlies,High Pace + Rim/Midrange Focus + Transition Heavy,4,103.69,0.635,0.4058008884243533,0.33,0.1375751503006012,0.4605210420841683,112.6,0.151
1610612748,Miami Heat,3-Point Heavy,2,97.08,0.653,0.4286915102269543,0.263,0.1293417135296063,0.4262873525195721,112.0,0.138
1610612749,Milwaukee Bucks,Iso/Heliocentric + Elite Defense,0,99.92,0.607,0.4240327591075967,0.235,0.1164484797297297,0.3836570945945945,112.7,0.133
1610612750,Minnesota Timberwolves,3-Point Heavy,2,97.95,0.637,0.4551656920077973,0.3,0.1187580025608194,0.4129321382842509,110.8,0.146
1610612740,New Orleans Pelicans,High Pace + Rim/Midrange Focus + Transition Heavy,4,99.77,0.636,0.385314875135722,0.303,0.1496779924494781,0.4539196091494559,119.1,0.146
1610612752,New York Knicks,Balanced / Average Style,5,97.64,0.634,0.3819548872180451,0.305,0.1358752896566252,0.4537602696439857,113.3,0.134
1610612760,Oklahoma City Thunder,Iso/Heliocentric + Elite Defense,0,100.9,0.602,0.4189473684210526,0.281,0.1337921263030057,0.4244509665013662,106.6,0.116
1610612753,Orlando Magic,Balanced / Average Style,5,96.51,0.603,0.411145862951379,0.302,0.1307113938692886,0.4347021399652979,109.1,0.147
1610612755,Philadelphia 76ers,Balanced / Average Style,5,98.13,0.584,0.4255022321428571,0.279,0.1430796617712505,0.4272363150867824,117.3,0.138
1610612756,Phoenix Suns,3-Point Heavy,2,98.31,0.673,0.4398586572438162,0.264,0.1115165825909627,0.3715788343887517,117.7,0.142
1610612757,Portland Trail Blazers,Iso/Heliocentric + Glass Crashers,1,99.51,0.587,0.4184694429421309,0.332,0.1420873199164192,0.4405586715055537,113.7,0.16
1610612758,Sacramento Kings,Balanced / Average Style,5,98.91,0.615,0.3909275558564658,0.294,0.1236037934668071,0.4145416227608008,115.3,0.133
1610612759,San Antonio Spurs,High Pace + High Ball Movement + Transition Heavy,3,100.08,0.685,0.4409127954360228,0.278,0.1422607578676943,0.420038535645472,116.3,0.138
1610612761,Toronto Raptors,High Pace + Rim/Midrange Focus + Transition Heavy,4,100.62,0.685,0.373358348968105,0.311,0.1634583654163458,0.4820151798482015,113.6,0.152
1610612762,Utah Jazz,Iso/Heliocentric + Glass Crashers,1,100.85,0.633,0.4492574257425742,0.311,0.1253405994550408,0.4283378746594005,119.4,0.17
1610612764,Washington Wizards,High Pace + High Ball Movement + Transition Heavy,3,101.82,0.637,0.4354904354904355,0.272,0.1476964769647696,0.4281842818428184,118.0,0.152
