Player,Free_Agent_Class_Rank,Current_Team,AAV,Ideal_Destination,Fit_Score,Reasoning,Archetypes
Kyrie Irving,N/A,DAL,"$39,491,282",DAL,1,Incumbent,"Elite Iso, Elite Usage, High Playmaking | High High Difficulty, Versatile, Steals"
Myles Turner,N/A,MIL,"$27,217,121",MIL,4,"Defensive Need, Incumbent","Elite Post Up, High Roll Man, High Usage | Anchor Big / Rim Protector"
Fred VanVleet,N/A,HOU,"$25,000,000",HOU,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High High Difficulty, Versatile, Steals"
Josh Giddey,N/A,CHI,"$25,000,000",CHI,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Jonathan Kuminga,N/A,GSW,"$23,400,000",GSW,4,"Defensive Need, Incumbent","P&R Handler, Transition, Spot Up | Versatile"
Santi Aldama,N/A,MEM,"$17,500,001",MEM,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Duncan Robinson,N/A,DET,"$15,992,957",DET,4,"Defensive Need, Incumbent","Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Nickeil Alexander-Walker,N/A,ATL,"$15,161,800",ATL,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Dennis Schröder,N/A,SAC,"$14,809,200",SAC,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High High Difficulty, Versatile, Steals"
Bobby Portis,N/A,MIL,"$14,521,414",MIL,1,Incumbent,"Elite Post Up, High Roll Man, High Usage | Guards C (High Rebounding)"
Caris LeVert,N/A,DET,"$14,456,600",DET,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Dorian Finney-Smith,N/A,HOU,"$13,176,250",HOU,1,Incumbent,"High Spot Up, Transition | High High Difficulty, Versatile, Steals"
Davion Mitchell,N/A,MIA,"$12,000,000",MIA,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Luke Kennard,N/A,ATL,"$11,000,000",ATL,1,Incumbent,"Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Luke Kornet,N/A,SAS,"$10,175,000",SAS,1,Incumbent,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Sam Merrill,N/A,CLE,"$9,500,000",CLE,1,Incumbent,"Elite Off-Screen, Spot Up, Transition | High High Difficulty, Versatile, Steals"
Ty Jerome,N/A,MEM,"$9,220,050",MEM,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Brook Lopez,N/A,LAC,"$8,968,750",LAC,1,Incumbent,"Elite Post Up, High Roll Man, High Usage | Anchor Big / Rim Protector"
Quentin Grimes,N/A,PHI,"$8,741,209",PHI,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
