,,,,,,
Player (248),Pos,Age,YOE,Prev Team,Prev AAV,Type
LeBron James,PF,41,23,LAL,"$50,677,999",UFA / Bird
Zach LaVine,SG,30.8,11,SAC,"$43,031,940",PLAYER / $49.0M
Trae Young,PG,27.2,7,ATL,"$43,031,940",PLAYER / $49.0M
James Harden,SG,36.3,15,LAC,"$40,750,000",PLAYER / $42.3M
C.J. McCollum,SG,34.2,13,WAS,"$32,000,000",UFA / Bird
Khris Middleton,SF,34.3,14,WAS,"$31,000,000",UFA / Bird
Kristaps Porzingis,PF,30.4,10,ATL,"$30,000,000",UFA / Bird
Isaiah Hartenstein,C,27.6,7,OKC,"$29,000,000",CLUB / $28.5M
Andrew Wiggins,SF,30.8,11,MIA,"$27,250,001",PLAYER / $30.2M
Tobias Harris,PF,33.4,15,DET,"$26,000,000",UFA / Early Bird
Fred VanVleet,PG,31.8,9,HOU,"$25,000,000",PLAYER / $25.0M
Draymond Green,PF,35.8,13,GSW,"$25,000,000",PLAYER / $27.7M
Anfernee Simons,SG,26.5,8,BOS,"$25,000,000",UFA / Bird
John Collins,PF,28.2,9,LAC,"$25,000,000",UFA / Bird
Terry Rozier,PG,31.8,11,MIA,"$24,064,674",UFA / Bird
Jonathan Kuminga,PF,23.2,4,GSW,"$23,400,000",CLUB / $24.3M
Kentavious Caldwell-Pope,SG,32.8,12,MEM,"$22,000,000",PLAYER / $21.6M
Nikola Vucevic,C,35.2,15,CHI,"$20,000,000",UFA / Bird
Harrison Barnes,PF,33.6,14,SAS,"$18,000,000",UFA / Bird
Norman Powell,SG,32.6,11,MIA,"$18,000,000",UFA / Bird
Collin Sexton,PG,26.9,8,CHA,"$17,737,500",UFA / Bird
Jusuf Nurkic,C,31.3,12,UTA,"$17,500,000",UFA / Bird
Zach Collins,C,28.1,9,CHI,"$17,410,848",UFA / Bird
Bogdan Bogdanovic,SG,33.3,8,LAC,"$17,000,000",CLUB / $16.0M
Rui Hachimura,PF,27.8,7,LAL,"$17,000,000",UFA / Bird
Luguentz Dort,SG,26.7,6,OKC,"$16,500,000",CLUB / $18.2M
Kevin Huerter,SG,27.3,8,CHI,"$16,250,000",UFA / Bird
Mitchell Robinson,C,27.8,8,NYK,"$15,000,000",UFA / Bird
Austin Reaves,SG,27.6,4,LAL,"$13,456,968",PLAYER / $14.9M
Kelly Olynyk,PF,34.7,13,SAS,"$13,125,000",UFA / Bird
Coby White,PG,25.8,7,CHI,"$12,000,000",UFA / Bird
Robert Williams III,C,28.2,8,POR,"$12,000,000",UFA / Bird
Matisse Thybulle,SG,28.8,7,POR,"$11,025,000",UFA / Bird
Moritz Wagner,C,28.7,8,ORL,"$11,000,000",UFA / Bird
Luke Kennard,SG,29.5,9,ATL,"$11,000,000",UFA / Non-Bird
Gabe Vincent,PG,29.5,7,LAL,"$11,000,000",UFA / Bird
Maxi Kleber,PF,33.9,9,LAL,"$11,000,000",UFA / Bird
Mike Conley,PG,38.2,19,MIN,"$10,375,000",UFA / Bird
Lonzo Ball,PG,28.2,8,CLE,"$10,000,000",CLUB / $10.0M
Pat Connaughton,SG,32.9,11,CHA,"$9,423,869",UFA / Bird
Brook Lopez,C,37.8,17,LAC,"$8,968,750",CLUB / $9.2M
Quentin Grimes,SG,25.6,5,PHI,"$8,741,209",UFA / Bird
