Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
A.J. Lawson,4503622.244718946,RFA / Two-Way,TOR,2204919.5898147444,2204919.5898147444
AJ Green,,,,,7387545.843849771
AJ Johnson,,,,,1392703.531939807
Aaron Gordon,,,,,10164135.247746145
Aaron Holiday,4550937.937970593,UFA / Bird,HOU,4038212.0413707336,3844954.485096323
Aaron Nesmith,,,,,4601649.896821912
Aaron Wiggins,,,,,8405603.126381444
Ace Bailey,,,,,2930753.359319463
Adem Bona,,,,,3243573.665612149
Adou Thiero,,,,,1402530.787124266
Ajay Mitchell,,,,,16051159.000042351
Al Horford,17061305.36755498,PLAYER / $6.0M,GSW,2319943.425362846,2314286.714532239
Alex Caruso,,,,,7452053.564096351
Alex Sarr,,,,,6625413.804160179
Alijah Martin,,,,,2821631.9859337783
Alperen Sengun,,,,,17918794.25852199
Amari Williams,,,,,2239058.28587485
Amen Thompson,,,,,17961242.34583934
Amir Coffey,7824496.704234293,UFA / Non-Bird,MIL,191445.4799396012,191445.4799396012
Andre Drummond,173723.20582755853,UFA / Early Bird,PHI,4457521.946779619,4457521.946779619
Andre Jackson Jr.,-344381.09237358865,CLUB / $2.4M,MIL,1209375.6467661448,1209375.6467661448
Andrew Nembhard,,,,,4828601.928587115
Andrew Wiggins,17758968.465650406,PLAYER / $30.2M,MIA,11457970.023377176,11639775.118780505
Anfernee Simons,20010403.698482186,UFA / Bird,BOS,11180784.299980702,11773440.019507688
Anthony Black,,,,,11870821.92215786
Anthony Davis,,,,,8377650.294958971
Anthony Edwards,,,,,19299098.152334716
Anthony Gill,-2160313.0584615907,UFA / Bird,WAS,1304189.448210754,1413620.5839419563
Antonio Reeves,851547.5156278481,RFA / Two-Way,CHA,3140741.5917815887,3140741.5917815887
Ariel Hukporti,-191628.8720875231,RFA / Early Bird,NYK,1232005.3611033498,1084105.1041475995
Asa Newell,,,,,2458805.2666749456
Ausar Thompson,,,,,8787261.740497418
Austin Reaves,31970497.488017015,PLAYER / $14.9M,LAL,14842235.41439988,14842235.41439988
Ayo Dosunmu,5917708.958485296,UFA / Bird,CHI,6807144.387786935,6838195.794127647
Bam Adebayo,,,,,13099602.754771734
Baylor Scheierman,,,,,2075056.6903623585
Ben Saraf,,,,,2463369.813152882
Ben Sheppard,,,,,1751470.3374334483
Bennedict Mathurin,21858582.93058871,RFA / Bird,IND,5378171.568596809,5383828.279427416
Bilal Coulibaly,,,,,2680600.160651851
Bismack Biyombo,1227623.1195293274,UFA / Early Bird,SAS,1404659.5160724765,1404659.5160724763
Blake Wesley,579255.0199123938,UFA / Non-Bird,POR,2763684.5626175823,2763684.5626175823
Bobby Portis,,,,,6531788.882887302
Bobi Klintman,,,,,2060204.6899396125
Bogdan Bogdanović,,,,,3700218.159132556
Bones Hyland,,,,,4856505.755036594
Bradley Beal,11175570.218474884,PLAYER / $5.6M,LAC,2489092.2739427644,2489092.2739427644
Branden Carlson,2457617.5394559857,RFA / Two-Way,OKC,3573784.175010556,3237119.135733189
Brandin Podziemski,,,,,9234064.371203467
Brandon Clarke,,,,,2411870.593192558
Brandon Ingram,,,,,16749897.216797013
Brandon Miller,,,,,7960358.9360240195
Brandon Williams,5041052.950120631,UFA / Bird,DAL,6867616.310482669,7281868.758664989
Brice Sensabaugh,,,,,2673078.4183119647
Bronny James,,,,,1418975.7223462395
Brook Lopez,20737356.378612693,CLUB / $9.2M,LAC,3359677.2798511717,3005855.822358149
Brooks Barnhizer,,,,,80727.1413007666
Bruce Brown,,,,,3933831.0923838443
Bryce McGowens,1097936.786003671,RFA / Two-Way,NOP,2638500.899268362,2611759.643719502
Bub Carrington,,,,,574106.7801811595
Buddy Hield,,,,,2416251.4789562267
CJ McCollum,,,,,8826254.054902509
Cade Cunningham,,,,,23691245.426777117
Caleb Houstan,-410004.2533776621,RFA / Two-Way,ATL,1848539.7619709151,1704098.72300922
Caleb Love,,,,,3048632.3858507066
Caleb Martin,,,,,-1019139.0425284362
Cam Christie,,,,,2024994.884929659
Cam Spencer,,,,,9081053.35889503
Cam Thomas,,,,,5060595.002972734
Cam Whitmore,,,,,1216041.324649315
Cameron Johnson,,,,,10906449.65130609
Caris LeVert,,,,,5527462.449922198
Carter Bryant,,,,,643231.9775515045
Cason Wallace,,,,,12220213.249152299
Cedric Coward,,,,,9848839.715798208
Charles Bassey,,,,,2718788.731823195
Chaz Lanier,,,,,1970192.7884874889
Chet Holmgren,,,,,19085416.63133022
Chris Boucher,8045966.16881079,UFA / Non-Bird,BOS,2564393.68004963,2564393.68004963
Chris Livingston,300094.17391757114,RFA,CLE,2711693.2869921667,2711693.2869921667
Chris Mañon,,,,,2971571.56563439
Chris Paul,12380396.41459516,UFA / Non-Bird,LAC,492211.4438960835,492211.4438960835
Chris Youngblood,,,,,547460.8593336473
Christian Braun,,,,,6353760.448703017
Christian Koloko,,,,,2530647.070083338
Chucky Hepburn,,,,,2076943.5601298623
Clint Capela,,,,,2426771.996745893
Coby White,24858845.696874782,UFA / Bird,CHI,7746856.279482119,7746856.279482119
Cody Martin,,,,,2067214.4190931902
Cody Williams,,,,,1256671.0242284245
Colby Jones,,,,,3004497.309239705
Cole Anthony,8954943.336938411,UFA / Non-Bird,MIL,2094524.1515666803,2094524.1515666805
Colin Castleton,2199321.789693474,RFA / Two-Way,ORL,,
Collin Gillespie,2764893.161535922,UFA / Early Bird,PHX,12522101.671161288,12766707.425525976
Collin Murray-Boyles,,,,,3836535.329100627
Collin Sexton,15048685.388364742,UFA / Bird,CHA,8115881.334210115,8263140.052237385
Cooper Flagg,,,,,10835492.67077455
Corey Kispert,,,,,3109490.68775805
Craig Porter Jr.,26267.085325915752,CLUB / $2.4M,CLE,4466799.434629114,4433488.228131638
Curtis Jones,,,,,2200276.7660984164
D'Angelo Russell,13023879.471946351,PLAYER / $6.0M,DAL,4701799.074267548,4701799.074267548
DaRon Holmes II,,,,,2327711.1439667274
Daeqwon Plowden,3520307.2587025934,RFA / Two-Way,SAC,2430179.7220423743,2430179.7220423743
Dalen Terry,-2141973.391876728,RFA / Bird,CHI,1595841.2197610645,1581729.5755249907
Dalton Knecht,,,,,1648805.0479117346
Daniel Gafford,,,,,3769606.051985678
Daniss Jenkins,1690969.266546828,RFA / Two-Way,DET,4497807.870873571,5147601.100880123
Danny Wolf,,,,,3526159.4859727346
Dario Šarić,,,,,2472286.0641431618
Darius Garland,,,,,7554351.509562493
David Jones Garcia,,,,,3062494.0459748874
Davion Mitchell,,,,,9918203.943820102
Day'Ron Sharpe,8009925.90128206,CLUB / $6.3M,BKN,4060224.625263705,4683722.803324068
De'Aaron Fox,,,,,14178577.910527106
De'Andre Hunter,,,,,8748799.936369868
De'Anthony Melton,3901931.715681571,PLAYER / $3.5M,GSW,4386466.835280468,4513225.595322583
