"From                     	                          To","Player  (156)","Pos","Yrs","Value                                                                         $2,833,806,311","AAV                                                                         $10,380,243",""
"PHI","Paul George","SG","4","$211,584,940","$52,896,235","Official"
"LAL","LeBron James","PF","2","$101,355,998","$50,677,999","Official"
"IND","Pascal Siakam","PF","4","$188,950,272","$47,237,568","Official"
"NYK","OG Anunoby","SF","5","$212,500,000","$42,500,000","Official"
"PHI","Tyrese Maxey","PG","5","$203,852,600","$40,770,520","Official"
"LAC","James Harden","SG","2","$70,000,000","$35,000,000","Official"
"TOR","Immanuel Quickley","PG","5","$162,500,000","$32,500,000","Official"
"OKC","Isaiah Hartenstein","C","3","$87,000,000","$29,000,000","Official"
"DET","Tobias Harris","PF","2","$52,000,000","$26,000,000","Official"
"CHA","Miles Bridges","SF","3","$75,000,000","$25,000,000","Official"
"SAC","DeMar DeRozan","SF","3","$73,890,000","$24,630,000","Official"
"BKN","Nicolas Claxton","C","4","$97,000,000","$24,250,000","Official"
"ORL","Kentavious Caldwell-Pope","SG","3","$66,000,000","$22,000,000","Official"
"SAC","Malik Monk","SG","4","$77,975,308","$19,493,827","Official"
"CHI","Patrick Williams","SF","5","$90,000,000","$18,000,000","Official"
"DAL","Klay Thompson","SG","3","$50,000,000","$16,666,667","Official"
"IND","Obi Toppin","PF","4","$58,000,000","$14,500,000","Official"
"GSW","De'Anthony Melton","SG","1","$12,822,000","$12,822,000","Official"
"OKC","Isaiah Joe","SG","4","$48,000,000","$12,000,000","Official"
"OKC","Aaron Wiggins","SG","4","$45,000,000","$11,250,000","Official"
"ORL","Moritz Wagner","C","2","$22,000,000","$11,000,000","Official"
"CLE","Isaac Okoro","SG","3","$33,000,000","$11,000,000","Official"
"PHX","Royce O'Neale","SF","4","$42,000,000","$10,500,000","Official"
"SAS","Chris Paul","PG","1","$10,460,000","$10,460,000","Official"
"WAS","Jonas Valanciunas","C","3","$30,295,000","$10,098,333","Official"
"LAC","Derrick Jones Jr.","SF/PF","3","$30,000,000","$10,000,000","Official"
"GSW","Buddy Hield","SG","4","$37,756,096","$9,439,024","Official"
"MEM","Luke Kennard","SG","1","$9,250,000","$9,250,000","Official"
"GSW","Kyle Anderson","PF","3","$27,658,536","$9,219,512","Official"
"CHI","Jalen Smith","PF","3","$27,000,000","$9,000,000","Official"
"DAL","Naji Marshall","SF","3","$27,000,000","$9,000,000","Official"
"PHI","Caleb Martin","SF","4","$35,040,704","$8,760,176","Official"
"ORL","Goga Bitadze","C","3","$25,000,000","$8,333,333","Official"
"PHI","Kelly Oubre Jr.","SF","2","$16,365,150","$8,182,575","Official"
"PHX","Josh Okogie","SG","2","$16,000,000","$8,000,000","Official"
"DET","Simone Fontecchio","SF","2","$16,000,000","$8,000,000","Official"
"LAL","Max Christie","SG","4","$32,000,000","$8,000,000","Official"
"ORL","Gary Harris","SG","2","$15,000,000","$7,500,000","Official"
"WAS","Saddiq Bey","SF","3","$19,000,000","$6,333,333","Official"
"DET","Malik Beasley","SG","1","$6,000,000","$6,000,000","Official"
"NYK","Precious Achiuwa","PF","1","$6,000,000","$6,000,000","Official"
"LAC","Kris Dunn","PG","3","$16,279,200","$5,426,400","Official"
"MIA","Haywood Highsmith","F","2","$10,816,000","$5,408,000","Official"
"DEN","Dario Saric","PF","2","$10,594,400","$5,297,200","Official"
"PHI","Andre Drummond","C","2","$10,000,000","$5,000,000","Official"
"UTA","Drew Eubanks","C","2","$9,750,000","$4,875,000","Official"
"HOU","Aaron Holiday","PG","2","$9,569,400","$4,784,700","Official"
"LAC","Nicolas Batum","SF","2","$9,569,400","$4,784,700","Official"
"MIA","Kevin Love","C/PF","2","$8,000,000","$4,000,000","Official"
"UTA","Sviatoslav Mykhailiuk","SG","4","$15,050,000","$3,762,500","Official"
"ATL","Cody Zeller","C","3","$11,025,000","$3,675,000","Official"
"DEN","Russell Westbrook","PG","2","$6,772,731","$3,386,366","Official"
"PHI","Eric Gordon","SG","2","$6,772,731","$3,386,366","Official"
"NYK","Marcus Morris Sr.","SF","1","$3,303,771","$3,303,771","Official"
"NYK","T.J. Warren","SF","1","$3,303,771","$3,303,771","Official"
"CHA","Taj Gibson","C","1","$3,303,771","$3,303,771","Official"
"UTA","Patty Mills","PG","1","$3,303,771","$3,303,771","Official"
"PHI","Kyle Lowry","PG","1","$3,303,771","$3,303,771","Official"
"DAL","Spencer Dinwiddie","PG","1","$3,303,771","$3,303,771","Official"
"IND","James Johnson","PF","1","$3,303,771","$3,303,771","Official"
"MIN","Joe Ingles","SF","1","$3,303,771","$3,303,771","Official"
"DAL","Markieff Morris","PF","1","$3,303,771","$3,303,771","Official"
"CLE","Tristan Thompson","C","1","$3,303,771","$3,303,771","Official"
"TOR","Garrett Temple","SG","1","$3,303,771","$3,303,771","Official"
"PHX","Mason Plumlee","C","1","$3,303,771","$3,303,771","Official"
"SAC","Alex Len","C","1","$3,303,771","$3,303,771","Official"
"CHA","Seth Curry","SG","1","$3,303,771","$3,303,771","Official"
"DEN","DeAndre Jordan","C","1","$3,303,771","$3,303,771","Official"
"MIA","Alec Burks","SG","1","$3,303,771","$3,303,771","Official"
"SAC","Doug McDermott","SF","1","$3,303,771","$3,303,771","Official"
"BKN","Shake Milton","SG","3","$9,162,406","$3,054,135","Official"
"MIL","Delon Wright","PG","1","$3,003,427","$3,003,427","Official"
"NYK","Cameron Payne","PG","1","$3,003,427","$3,003,427","Official"
"PHX","Tyus Jones","PG","1","$3,003,427","$3,003,427","Official"
"MIL","Taurean Prince","PF","1","$2,988,550","$2,988,550","Official"
"UTA","Johnny Juzang","SG","4","$11,425,252","$2,856,313","Official"
"NOP","Daniel Theis","C","1","$2,800,834","$2,800,834","Official"
"PHX","Damion Lee","SG","1","$2,800,834","$2,800,834","Official"
"MIA","Thomas Bryant","C","1","$2,800,834","$2,800,834","Official"
"BOS","Luke Kornet","C","1","$2,800,834","$2,800,834","Official"
