Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04
A.J. Lawson,4503622.244718946,RFA / Two-Way,TOR,2204919.5898147444
Aaron Holiday,4550937.937970593,UFA / Bird,HOU,4038212.0413707336
Al Horford,17061305.36755498,PLAYER / $6.0M,GSW,2319943.425362846
Amir Coffey,7824496.704234293,UFA / Non-Bird,MIL,191445.4799396012
Andre Drummond,173723.20582755853,UFA / Early Bird,PHI,4457521.946779619
Andre Jackson Jr.,-344381.09237358865,CLUB / $2.4M,MIL,1209375.6467661448
Andrew Wiggins,17758968.465650406,PLAYER / $30.2M,MIA,11457970.023377176
Anfernee Simons,20010403.698482186,UFA / Bird,BOS,11180784.299980702
Anthony Gill,-2160313.0584615907,UFA / Bird,WAS,1304189.448210754
Antonio Reeves,851547.5156278481,RFA / Two-Way,CHA,3140741.5917815887
Ariel Hukporti,-191628.8720875231,RFA / Early Bird,NYK,1232005.3611033498
Austin Reaves,31970497.488017015,PLAYER / $14.9M,LAL,14842235.41439988
Ayo Dosunmu,5917708.958485296,UFA / Bird,CHI,6807144.387786935
Bennedict Mathurin,21858582.93058871,RFA / Bird,IND,5378171.568596809
Bismack Biyombo,1227623.1195293274,UFA / Early Bird,SAS,1404659.5160724763
Blake Wesley,579255.0199123938,UFA / Non-Bird,POR,2763684.5626175823
Bradley Beal,11175570.218474884,PLAYER / $5.6M,LAC,2489092.2739427644
Branden Carlson,2457617.5394559857,RFA / Two-Way,OKC,3573784.175010556
Brandon Williams,5041052.950120631,UFA / Bird,DAL,6867616.310482669
Brook Lopez,20737356.378612693,CLUB / $9.2M,LAC,3359677.2798511717
Bryce McGowens,1097936.786003671,RFA / Two-Way,NOP,2638500.899268362
Caleb Houstan,-410004.2533776621,RFA / Two-Way,ATL,1848539.7619709151
Chris Boucher,8045966.16881079,UFA / Non-Bird,BOS,2564393.68004963
Chris Livingston,300094.17391757114,RFA,CLE,2711693.2869921667
Chris Paul,12380396.41459516,UFA / Non-Bird,LAC,492211.4438960835
Coby White,24858845.696874782,UFA / Bird,CHI,7746856.279482119
Cole Anthony,8954943.336938411,UFA / Non-Bird,MIL,2094524.1515666805
Colin Castleton,2199321.789693474,RFA / Two-Way,ORL,
Collin Gillespie,2764893.161535922,UFA / Early Bird,PHX,12522101.671161287
Collin Sexton,15048685.388364742,UFA / Bird,CHA,8115881.334210115
Craig Porter Jr.,26267.085325915752,CLUB / $2.4M,CLE,4466799.434629114
D'Angelo Russell,13023879.471946351,PLAYER / $6.0M,DAL,4701799.074267548
Daeqwon Plowden,3520307.2587025934,RFA / Two-Way,SAC,2430179.7220423743
Dalen Terry,-2141973.391876728,RFA / Bird,CHI,1595841.2197610645
Daniss Jenkins,1690969.266546828,RFA / Two-Way,DET,4497807.870873571
Day'Ron Sharpe,8009925.90128206,CLUB / $6.3M,BKN,4060224.625263705
De'Anthony Melton,3901931.715681571,PLAYER / $3.5M,GSW,4386466.835280468
DeAndre Jordan,643942.6989195724,UFA / Non-Bird,NOP,2381392.197255672
Dean Wade,9358560.797383502,UFA / Bird,CLE,3883812.6809881497
Deandre Ayton,8498730.317408346,PLAYER / $8.1M,LAL,8389197.943340043
Dominick Barlow,1950000.114287172,UFA / Two-Way,PHI,4541643.461588761
Doug McDermott,1147173.294069211,UFA / Early Bird,SAC,2263746.5279141674
Draymond Green,16931681.48316379,PLAYER / $27.7M,GSW,6887777.633923266
Drew Eubanks,-280572.9481792959,UFA / Non-Bird,SAC,473977.9581071866
Drew Timme,2817395.2048155274,RFA / Two-Way,LAL,2665886.1327531864
Duop Reath,387065.99367472355,RFA / Bird,POR,-40270.315017194866
Dwight Powell,-1036509.5121226652,UFA / Bird,DAL,2281747.7320406307
E.J. Liddell,1674187.2587925317,RFA / Two-Way,BKN,2466214.237915816
Elijah Harkless,3063793.0701302104,RFA / Two-Way,UTA,2844864.478051861
Emanuel Miller,2168975.7880951636,RFA / Two-Way,CHI,2100063.9878301932
Enrique Freeman,861566.9957560402,RFA / Two-Way,MIN,
Eric Gordon,2575517.548577172,UFA / Early Bird,PHI,2192916.2833121098
Fred VanVleet,21101878.813317724,PLAYER / $25.0M,HOU,
Gabe Vincent,5196105.353392915,UFA / Bird,LAL,3156821.4572677547
Garrett Temple,105764.68485156135,UFA / Bird,TOR,1328844.9461667077
Gary Harris,2086945.6695055692,PLAYER / $3.8M,MIL,1290908.3374490768
Gary Payton II,5390764.673584315,UFA / Bird,GSW,1250423.3619846937
Gary Trent Jr.,13032088.369707802,PLAYER / $3.9M,MIL,1725970.8077040093
Georges Niang,14666151.064616898,UFA / Bird,BOS,
Guerschon Yabusele,9932389.948704071,PLAYER / $5.8M,NYK,1372922.5603305737
Gui Santos,4946366.880623169,RFA / Bird,GSW,2058259.055514858
Harrison Barnes,14906502.652632354,UFA / Bird,SAS,9435662.12775817
Harrison Ingram,3194127.7857706305,RFA / Two-Way,SAS,3009556.064831714
Haywood Highsmith,6530565.631231888,UFA / Bird,BKN,
Hunter Tyson,-2521660.175635375,CLUB / $2.4M,DEN,1516056.028375963
Isaac Jones,-494872.883497051,RFA / Non-Bird,DET,2201590.697429745
Isaiah Crawford,1765628.2375472488,RFA / Two-Way,HOU,2765564.695509232
Isaiah Hartenstein,21381830.457500342,CLUB / $28.5M,OKC,10397153.877065662
Isaiah Stevens,2561673.728332095,RFA / Two-Way,SAC,
Jabari Walker,2919930.778706392,RFA / Two-Way,PHI,1832708.5323014623
Jackson Rowe,3079662.4233253505,RFA / Two-Way,GSW,
Jaden Ivey,9716146.798016597,RFA / Bird,DET,4994782.04044898
Jalen Duren,17676091.827400066,RFA / Bird,DET,15535990.644012086
Jalen Pickett,2724181.472055938,CLUB / $2.4M,DEN,2410598.058276881
Jalen Wilson,4771042.0459842635,RFA / Bird,BKN,514109.0586180945
Jamal Cain,-84189.04948225168,RFA / Two-Way,ORL,2370635.7634881884
Jamal Shead,1810904.5153069953,CLUB / $2.3M,TOR,6194287.987383362
Jamal Shead,1810904.5153069953,CLUB / $2.3M,TOR,6194287.987383362
