SNAPSHOT_TIME,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,TS_PCT,USG_PCT,PIE
2026-01-05 09:11,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,3,0,3,0.0,23.348333333333333,4,11,0.364,2,4,0.5,4,4,1.0,1,5,6,0,0,1,2,1,5,2,14,-14,30.2,0,0,28.0,479,485,49,485,477,456,455,429,393,423,13,403,418,1,453,446,452,489,478,444,360,56,56,449,451,294,458,183,22,456,1,0.549,0.255,0.089
2026-01-05 09:11,1631260,AJ Green,AJ,1610612749,MIL,26.0,33,15,18,0.455,965.0083333333333,108,250,0.432,97,227,0.427,23,29,0.793,7,81,88,67,28,22,3,7,86,40,336,48,589.1,0,0,638.0,83,161,408,293,70,168,154,317,12,30,59,252,262,213,353,168,219,150,214,170,321,242,460,200,145,114,178,183,22,155,1,0.639,0.127,0.059
2026-01-05 09:11,1642358,AJ Johnson,AJ,1610612764,WAS,21.0,17,3,14,0.176,96.465,8,32,0.25,4,11,0.364,3,4,0.75,2,7,9,12,6,3,0,7,5,3,23,11,54.8,0,0,54.0,351,423,326,458,418,427,405,482,374,385,189,413,418,277,434,432,441,376,394,408,439,242,56,433,429,194,430,183,22,430,1,0.341,0.167,0.025
2026-01-05 09:11,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,10,4,0.714,389.54833333333335,90,169,0.533,28,65,0.431,56,66,0.848,22,61,83,19,21,10,3,5,26,49,264,166,410.1,2,0,420.0,381,262,64,51,288,192,227,87,194,231,50,121,135,121,196,227,231,330,261,304,321,179,167,166,191,28,263,95,22,246,1,0.667,0.23,0.13
2026-01-05 09:11,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,26,19,7,0.731,372.9483333333333,55,134,0.41,37,91,0.407,25,29,0.862,3,20,23,26,21,11,4,5,35,29,172,29,262.6,0,0,288.0,232,78,135,41,292,287,263,362,155,180,87,238,262,103,422,375,389,295,261,295,288,179,212,249,266,142,317,183,22,304,1,0.586,0.182,0.063
2026-01-05 09:11,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,16,1,15,0.063,472.2416666666667,76,197,0.386,46,116,0.397,38,47,0.809,22,52,74,32,17,12,10,13,45,46,236,-75,421.8,0,0,432.0,361,465,346,484,255,231,199,407,117,136,110,183,187,180,196,259,256,266,291,282,173,339,269,174,208,420,256,183,22,242,1,0.542,0.197,0.08
2026-01-05 09:11,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,23,18,5,0.783,514.1416666666667,89,198,0.449,42,107,0.393,17,24,0.708,14,50,64,38,25,13,12,6,37,18,237,153,420.8,0,0,431.0,286,100,87,27,237,199,197,276,137,152,118,296,292,331,271,268,284,244,235,273,143,210,223,314,206,34,257,183,22,243,1,0.568,0.191,0.081
2026-01-05 09:11,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,30,11,19,0.367,714.555,123,281,0.438,45,126,0.357,20,30,0.667,43,55,98,46,37,22,11,8,74,29,311,-155,559.6,0,0,566.0,154,241,424,349,155,140,130,305,122,117,211,276,255,360,86,252,195,221,153,170,158,262,420,249,157,485,187,183,22,176,1,0.529,0.185,0.056
2026-01-05 09:11,1641737,Adem Bona,Adem,1610612755,PHI,22.0,25,16,9,0.64,418.6383333333333,32,59,0.542,2,5,0.4,30,46,0.652,44,55,99,6,16,9,36,6,53,43,96,36,342.8,0,0,293.0,252,139,185,127,274,339,361,78,393,411,95,211,195,383,83,252,191,414,296,318,22,210,314,189,336,133,286,183,22,302,1,0.606,0.093,0.055
2026-01-05 09:11,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,15,8,7,0.533,86.70333333333333,7,18,0.389,0,1,0.0,6,8,0.75,7,11,18,5,4,5,1,3,15,5,20,-4,63.1,0,0,55.0,374,306,135,228,422,437,433,401,433,449,433,381,381,277,353,415,403,421,414,375,391,125,115,406,436,247,424,183,22,429,1,0.465,0.125,0.033
